Merge Sort - 100,Quick Sort - 100,Merge Sort Async - 100,Quick Sort Async - 100,Merge Sort - 1000,Quick Sort - 1000,Merge Sort Async - 1000,Quick Sort Async - 1000,Merge Sort - 10000,Quick Sort - 10000,Merge Sort Async - 10000,Quick Sort Async - 10000
,,,,162.75µs,82.167µs,92.583µs,91.209µs,127.583µs,37.708µs,50.792µs,57.208µs
,,,,137.209µs,91.375µs,107.166µs,138.084µs,129.834µs,46.25µs,65.708µs,49.833µs
,,,,137.667µs,72.541µs,121.791µs,89.791µs,123.667µs,43.333µs,76.292µs,48.625µs
,,,,155.791µs,70.875µs,107.917µs,74.791µs,117.333µs,36.792µs,55.083µs,41.042µs
,,,,136.125µs,84.167µs,113.875µs,84.458µs,121.417µs,53.167µs,47.458µs,40.083µs
,,,,177.625µs,88.792µs,77.25µs,121.541µs,105.333µs,50.375µs,53.958µs,49.583µs
,,,,140.208µs,75.833µs,94µs,69.709µs,115.291µs,52.083µs,55.25µs,55.709µs
,,,,109.333µs,66.333µs,87.208µs,97.375µs,167.375µs,42.291µs,67.542µs,46.291µs
,,,,121.209µs,73µs,95.959µs,71.209µs,176.959µs,39.084µs,65.375µs,45.666µs
,,,,206.25µs,66.166µs,71.667µs,78.291µs,136.166µs,36.125µs,48.375µs,56.708µs
,,,,158.583µs,132.084µs,103.083µs,97.333µs,173.166µs,46.541µs,65.791µs,53.875µs
,,,,141.042µs,80.875µs,97.917µs,93µs,145.75µs,51.625µs,48.666µs,43.709µs
,,,,134.917µs,77.791µs,85.875µs,80.458µs,109.666µs,52.291µs,52.542µs,52.542µs
,,,,116.208µs,88.208µs,89.666µs,84.167µs,142.708µs,58.959µs,55.75µs,53.584µs
,,,,114.125µs,75.458µs,128.666µs,95.5µs,154.833µs,57.5µs,47.333µs,52.333µs
,,,,148.042µs,88.875µs,98.625µs,89.083µs,141.5µs,66.959µs,51.625µs,43.083µs
,,,,205.625µs,83.625µs,97.792µs,51.417µs,112.083µs,52.25µs,43.959µs,45.083µs
,,,,132.667µs,78.459µs,81.875µs,116.375µs,389.917µs,40.667µs,46.416µs,60.625µs
,,,,122.458µs,80.5µs,72.875µs,78.666µs,329.125µs,60.625µs,44.417µs,58.042µs
,,,,101.334µs,93.375µs,78.791µs,69.625µs,439.458µs,43.875µs,47.584µs,40.917µs
,,,,117.584µs,89.041µs,114.833µs,90.625µs,143.625µs,56.209µs,53.5µs,53.417µs
,,,,135.875µs,95.667µs,86.042µs,89.667µs,200.459µs,285.625µs,47µs,67.583µs
,,,,149.917µs,80.125µs,92.958µs,77.792µs,146.166µs,157.75µs,45µs,72.459µs
,,,,202.334µs,68.75µs,90.834µs,86.291µs,168.458µs,157.25µs,48.25µs,66µs
,,,,115.333µs,94.291µs,101.125µs,54.958µs,200.167µs,98µs,52.667µs,53.375µs
,,,,124.042µs,75.791µs,90.583µs,56.458µs,258.958µs,71.209µs,55.25µs,75.083µs
,,,,110.916µs,78.292µs,99.375µs,75.042µs,147.583µs,67.291µs,56.25µs,103.125µs
,,,,133.208µs,70.25µs,63.625µs,79.667µs,140.292µs,87.625µs,60.209µs,76.875µs
,,,,119.292µs,70.208µs,85.917µs,106.334µs,159.917µs,76.375µs,43.958µs,48.833µs
,,,,113.542µs,81.667µs,97.583µs,81.5µs,172.792µs,72.125µs,44.084µs,61.5µs
,,,,126.292µs,100.416µs,102µs,90.417µs,158.708µs,52µs,51.333µs,48.875µs
,,,,124.459µs,75.291µs,82µs,84.25µs,162.083µs,73.292µs,55.667µs,60.792µs
,,,,128.958µs,139.458µs,82.458µs,79.875µs,191.584µs,68.542µs,43.041µs,69.208µs
,,,,115.333µs,83.667µs,109.541µs,99µs,230.416µs,112.458µs,50.917µs,66.958µs
,,,,132.875µs,62.75µs,96.375µs,95µs,134.375µs,122.917µs,53.834µs,68.792µs
,,,,173.209µs,71.875µs,122.042µs,89.375µs,164.666µs,79.5µs,48.834µs,70.334µs
,,,,168.833µs,91.292µs,67.209µs,86.375µs,208.042µs,145.083µs,47.125µs,57.25µs
,,,,157.541µs,74.708µs,100.417µs,91.459µs,143.5µs,72.375µs,45.042µs,62.459µs
,,,,171.292µs,82.5µs,302.958µs,125.709µs,132µs,102.125µs,51.125µs,59.417µs
,,,,109.292µs,79.583µs,282.958µs,86.792µs,226.584µs,81.208µs,55.333µs,62.708µs
,,,,130.875µs,81.583µs,98.375µs,71.583µs,311.375µs,75.166µs,53.375µs,51.834µs
,,,,144µs,83.208µs,79.875µs,64.667µs,200.125µs,59.708µs,50.375µs,52.709µs
,,,,121.833µs,77.583µs,108.667µs,66.459µs,164.125µs,67.167µs,66.708µs,42.875µs
,,,,141.208µs,89.5µs,69.167µs,70.333µs,118.958µs,71.167µs,59.75µs,48.25µs
,,,,112.75µs,82.375µs,107.917µs,80.333µs,150.959µs,63.5µs,46.208µs,49.625µs
,,,,112.791µs,93.542µs,106.792µs,258.625µs,103.458µs,83.709µs,48.625µs,50.042µs
,,,,140.083µs,71.291µs,84.5µs,140.916µs,106.958µs,66.75µs,68.209µs,59.959µs
,,,,124µs,93.959µs,87.5µs,86.875µs,129.708µs,85.709µs,59.833µs,62.959µs
,,,,123.625µs,61.833µs,113.708µs,87.292µs,132.75µs,71.666µs,53.958µs,62µs
,,,,88.334µs,107.584µs,109.708µs,97.25µs,135.208µs,74.334µs,64.875µs,59.125µs
,,,,115.25µs,70.583µs,125.375µs,116.25µs,106.833µs,70.125µs,60.292µs,47.333µs
,,,,111.709µs,74.042µs,124.375µs,118.833µs,102.708µs,64.167µs,42µs,54.667µs
,,,,99.666µs,76.125µs,97.125µs,109.875µs,142.125µs,48.458µs,47.667µs,55.417µs
,,,,142.209µs,71µs,111.209µs,106.834µs,134.959µs,89.166µs,62.875µs,56.917µs
,,,,93.459µs,72.709µs,176.875µs,104.375µs,101.875µs,70.125µs,52.75µs,48.541µs
