Merge Sort - 10,Quick Sort - 10,Merge Sort - 100,Quick Sort - 100,Merge Sort - 1000,Quick Sort - 1000
,,,,104.504µs,151.783µs
,,,,129.767µs,158.97µs
,,,,126.461µs,172.202µs
,,,,126.28µs,125.057µs
,,,,127.336µs,161.674µs
,,,,136.346µs,134.599µs
,,,,119.802µs,144µs
,,,,109.182µs,171.65µs
,,,,124.068µs,131.408µs
,,,,112.908µs,139.468µs
,,,,112.838µs,146.241µs
,,,,108.463µs,221.125µs
,,,,107.103µs,193.448µs
,,,,129.101µs,241.295µs
,,,,118.206µs,202.863µs
,,,,102.298µs,270.024µs
,,,,134.582µs,1.218256ms
,,,,113.886µs,318.081µs
,,,,116.578µs,189.218µs
,,,,103.169µs,211.484µs
,,,,115.752µs,206.255µs
,,,,122.334µs,218.656µs
,,,,123.538µs,151.149µs
,,,,122.743µs,165.308µs
,,,,116.651µs,162.25µs
,,,,112.581µs,172.264µs
,,,,119.135µs,162.162µs
,,,,132.75µs,138.544µs
,,,,137.631µs,129.089µs
,,,,128.809µs,135.121µs
,,,,158.781µs,129.652µs
,,,,130.576µs,127.983µs
,,,,151.532µs,138.937µs
,,,,145.097µs,136.576µs
,,,,144.239µs,157.991µs
,,,,143.464µs,143.863µs
,,,,172.368µs,136.77µs
,,,,140.122µs,121.507µs
,,,,160.017µs,142.082µs
,,,,165.37µs,119.362µs
,,,,137.722µs,117.287µs
,,,,155.969µs,102.577µs
,,,,150.282µs,126.096µs
,,,,136.617µs,134.045µs
,,,,209.27µs,127.667µs
,,,,309.328µs,131.164µs
,,,,198.095µs,123.32µs
,,,,188.881µs,124.645µs
,,,,189.944µs,135.932µs
,,,,170.338µs,115.628µs
,,,,197.919µs,107.189µs
,,,,223.828µs,127.722µs
,,,,338.154µs,132.659µs
,,,,208.282µs,142.96µs
,,,,185.512µs,132.889µs
,,,,128.207µs,141.97µs
,,,,750.854µs,122.811µs
,,,,261.035µs,136.775µs
,,,,273.525µs,140.471µs
,,,,223.223µs,120.693µs
,,,,152.939µs,123.445µs
,,,,150.694µs,119.202µs
,,,,140.343µs,108.734µs
,,,,127.096µs,119.282µs
,,,,146.678µs,118.254µs
,,,,126.767µs,136.337µs
,,,,109.845µs,145.63µs
,,,,132.945µs,151.415µs
,,,,161.762µs,157.25µs
,,,,133.556µs,124.443µs
,,,,123.29µs,109.809µs
,,,,107.175µs,114.592µs
,,,,122.291µs,100.585µs
,,,,138.865µs,98.279µs
,,,,105.938µs,109.46µs
,,,,136.422µs,104.843µs
,,,,129.158µs,107.452µs
,,,,130.448µs,108.798µs
,,,,97.761µs,109.215µs
,,,,138.802µs,114.584µs
,,,,113.662µs,114.709µs
,,,,120.476µs,113.502µs
,,,,148.18µs,112.781µs
,,,,124.082µs,104.871µs
,,,,104.877µs,109.527µs
,,,,139.852µs,107.448µs
,,,,141.56µs,104.782µs
,,,,147.003µs,112.024µs
,,,,133.904µs,104.967µs
,,,,134.587µs,119.221µs
,,,,117.494µs,107.762µs
,,,,127.321µs,114.446µs
,,,,182.222µs,103.349µs
,,,,145.346µs,107.414µs
,,,,116.964µs,141.578µs
,,,,142.586µs,123.446µs
,,,,159.378µs,171.72µs
,,,,147.27µs,160.065µs
,,,,139.54µs,154.739µs
,,,,131.657µs,134.655µs
,,,,125.785µs,141.915µs
,,,,147.529µs,130.141µs
,,,,138.737µs,146.031µs
,,,,130.348µs,144.667µs
,,,,126.684µs,139.781µs
,,,,133.913µs,135.621µs
,,,,125.17µs,148.417µs
,,,,132.442µs,145.5µs
,,,,129.782µs,124.101µs
,,,,126.309µs,118.175µs
,,,,124.085µs,147.788µs
,,,,121.725µs,141.734µs
,,,,141.899µs,146.533µs
,,,,133.474µs,141.022µs
,,,,169.172µs,154.611µs
,,,,106.41µs,172.681µs
,,,,122.562µs,186.183µs
,,,,113.904µs,159.845µs
,,,,117.862µs,140.013µs
,,,,124.639µs,180.138µs
,,,,116.456µs,158.148µs
,,,,128.164µs,141.088µs
,,,,118.664µs,160.576µs
,,,,120.838µs,176.628µs
,,,,130.393µs,180.38µs
,,,,129.826µs,169.281µs
,,,,123.591µs,170.177µs
,,,,160.441µs,205.136µs
,,,,137.996µs,201.748µs
,,,,136.683µs,435.437µs
,,,,125.113µs,264.317µs
,,,,118.987µs,199.83µs
,,,,148.758µs,163.011µs
,,,,159.896µs,137.593µs
,,,,155.595µs,146.839µs
,,,,136.045µs,153.307µs
,,,,142.226µs,128.969µs
,,,,164.708µs,133.49µs
,,,,136.134µs,143.434µs
,,,,133.172µs,165.669µs
,,,,152.271µs,124.549µs
,,,,161.506µs,144.144µs
,,,,178.479µs,120.134µs
,,,,165.524µs,133.735µs
,,,,199.18µs,145.521µs
,,,,174.171µs,124.543µs
,,,,172.926µs,131.281µs
,,,,174.193µs,128.011µs
,,,,160.566µs,134.578µs
,,,,228.501µs,123.511µs
,,,,673.636µs,109.185µs
,,,,299.004µs,134.298µs
,,,,200.984µs,126.225µs
,,,,233.591µs,126.771µs
,,,,189.302µs,122.863µs
,,,,290.4µs,143.219µs
,,,,228.176µs,151.772µs
,,,,352.417µs,148.931µs
,,,,207.762µs,127.445µs
,,,,198.234µs,139.471µs
,,,,201.716µs,133.749µs
,,,,153.827µs,131.108µs
,,,,164.412µs,138.767µs
,,,,178.145µs,159.534µs
,,,,134.676µs,142.379µs
,,,,167.039µs,153.119µs
,,,,153.221µs,169.424µs
,,,,116.428µs,137.972µs
,,,,142.714µs,123.899µs
,,,,116.044µs,140.101µs
,,,,134.296µs,119.306µs
,,,,121.223µs,124.079µs
,,,,138.942µs,157.625µs
,,,,156.685µs,129.615µs
,,,,140.767µs,104.308µs
,,,,140.606µs,111.173µs
,,,,130.874µs,113.585µs
,,,,122.708µs,117.821µs
,,,,136.551µs,116.965µs
,,,,160.503µs,102.651µs
,,,,136.69µs,109.341µs
,,,,135.638µs,119.12µs
,,,,153.158µs,116.86µs
,,,,139.852µs,107.153µs
,,,,136.588µs,118.593µs
,,,,135.528µs,123.052µs
,,,,129.857µs,112.926µs
,,,,128.639µs,116.994µs
,,,,129.104µs,115.822µs
,,,,123.406µs,113.987µs
,,,,137.717µs,123.847µs
,,,,126.512µs,137.784µs
,,,,120.473µs,121.731µs
,,,,119.74µs,127.39µs
,,,,129.58µs,116.844µs
,,,,113.491µs,98.842µs
,,,,117.885µs,114.783µs
,,,,126.972µs,107.153µs
,,,,125.687µs,103.639µs
,,,,126.577µs,110.601µs
,,,,114.236µs,118.805µs
,,,,117.727µs,113.302µs
,,,,118.242µs,109.451µs
,,,,117.118µs,116.385µs
,,,,120.828µs,109.119µs
,,,,117.116µs,123.64µs
,,,,111.923µs,126.789µs
,,,,160.813µs,123.656µs
,,,,123.518µs,134.3µs
,,,,122.028µs,123.985µs
,,,,122.91µs,142.271µs
,,,,132.206µs,106.051µs
,,,,126.136µs,117.83µs
,,,,134.375µs,137.046µs
,,,,118.5µs,141.313µs
,,,,156.477µs,140.176µs
,,,,115.962µs,169.367µs
,,,,118.305µs,138.701µs
,,,,124.733µs,156.731µs
,,,,128.451µs,136.703µs
,,,,125.296µs,134.661µs
,,,,114.242µs,133.403µs
,,,,112.797µs,132.413µs
,,,,120.008µs,129.593µs
,,,,114.429µs,150.654µs
,,,,108.912µs,182.402µs
,,,,113.926µs,483.443µs
,,,,115.643µs,962.171µs
,,,,113.121µs,533.305µs
,,,,138.715µs,231.626µs
,,,,124.586µs,890.327µs
,,,,131.76µs,453.152µs
,,,,159.496µs,194.116µs
,,,,137.882µs,146.167µs
,,,,163.13µs,131.318µs
,,,,153.527µs,134.767µs
,,,,132.574µs,127.554µs
,,,,130.139µs,110.837µs
,,,,165.832µs,125.39µs
,,,,158.167µs,144.846µs
,,,,154.22µs,125.859µs
,,,,150.359µs,157.452µs
,,,,157.577µs,150.176µs
,,,,538.816µs,133.429µs
,,,,304.159µs,135.195µs
,,,,237.628µs,127.537µs
,,,,149.219µs,152.868µs
,,,,168.004µs,133.845µs
,,,,170.501µs,397.752µs
,,,,157.757µs,143.672µs
,,,,176.265µs,134.906µs
,,,,484.25µs,128.814µs
,,,,259.09µs,127.492µs
,,,,200.088µs,135.248µs
,,,,214.319µs,143.262µs
,,,,194.922µs,116.488µs
,,,,193.42µs,139.208µs
,,,,154.837µs,159.322µs
,,,,166.093µs,132.733µs
,,,,146.179µs,136.018µs
,,,,157.027µs,128.665µs
,,,,192.122µs,123.228µs
,,,,184.958µs,140.478µs
